Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
Western Digital  Thailand	Western Digital  Thailand;;	WOS:000372985400001;;
Portuguese Fulbright Commission	Portuguese Fulbright Commission;;	WOS:000208067900005;;
Sociedad Mexicana de Inteligencia Artificial  SMIA	Sociedad Mexicana de Inteligencia Artificial  SMIA;;	WOS:000298027300003;;
State High-Tech Development Plan	State High-Tech Development Plan;;EVE;;	WOS:000374442300043;;WOS:000295290400003;;
British Heart Foundation	British Heart Foundation;;	WOS:000398515000033;;
Department of Computer and Information Science at the Norwegian University of Science and Technology  NTNU	Department of Computer and Information Science at the Norwegian University of Science and Technology  NTNU;;	WOS:000253969900094;;
United States Geological Survey	United States Geological Survey;;	WOS:000326902800028;WOS:000332673600005;;
Dr Pinchas Borenstein Talpiot Medical Leadership Program 2013 fellowship	Dr Pinchas Borenstein Talpiot Medical Leadership Program 2013 fellowship;;	WOS:000332638100003;;
Kaplan Center for the Humanities	Kaplan Center for the Humanities;;CEN;;	WOS:000353034000004;;WOS:000392233300002;;
CDTI Ministerio de Industria Turismo y Comercio of Spain	CDTI Ministerio de Industria Turismo y Comercio of Spain;CDTI  Spanish Ministry of Research;CDTI;;	WOS:000343685400013;WOS:000314858100022;WOS:000287455400009;;
Spanish Ministry of Science and Technology	Spanish Ministry of Science and Technology;;Spanish Ministry of Science;;	WOS:000392361600094;WOS:000345690100002;WOS:000341732900003;WOS:000308122700004;WOS:000286373200004;WOS:000259912700012;;WOS:000306342100022;;
Czech Science Foundation	Czech Science Foundation;;	WOS:000355931100012;WOS:000282113800002;WOS:000283664100003;;
Midi-Pyrenees region	Midi-Pyrenees region;;	WOS:000393306500136;;
Enersul - Energias do Brasil S A  from Brazil	Enersul - Energias do Brasil S A  from Brazil through its research and development program;;Enersul - Energias do Brasil S A  from Brazil;;	WOS:000275524901046;;WOS:000258172300207;;
PRODEP	PRODEP;;	WOS:000404456300006;;
Qatar Telecom  Qtel  Doha Qatar	Qatar Telecom  Qtel  Doha Qatar;;	WOS:000279093200011;;
National Science Foundation for Distinguished Young Scholars of China	National Science Foundation for Distinguished Young Scholars of China;;National Science Foundation;;	WOS:000387737200050;;WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;
Operational Programme 'Research and Development for Innovations' - Structural Funds of the European Union	Structural Funds of the European Union;;Operational Programme 'Research and Development for Innovations' - Structural Funds of the European Union;;EVE;;European Union;;	WOS:000348772500003;;WOS:000357222300025;;WOS:000295290400003;;WOS:000243498900012;WOS:000272847500007;WOS:000346067900106;WOS:000358947900004;WOS:000369628900007;WOS:000392471800060;WOS:000400488300034;WOS:000376462300005;WOS:000286040100067;WOS:000334114700009;WOS:000348349000057;WOS:000341805500003;WOS:000346358800005;WOS:000359165100025;WOS:000299094900006;WOS:000344737100021;WOS:000337063200002;WOS:000347342300025;WOS:000340321800009;WOS:000302484500007;WOS:000284813000004;WOS:000297568900005;WOS:000312246900016;WOS:000279728900004;WOS:000298055300004;WOS:000302484500003;WOS:000250429600062;WOS:000316531000005;;
Construction Funds of Humanities and Social Sciences Lanzhou University	Lanzhou University;;Construction Funds of Humanities and Social Sciences Lanzhou University;;	WOS:000319408400004;;WOS:000303428600121;;
Universidad EAFIT	Universidad EAFIT;;	WOS:000341191800008;;
Vice Chancellor for Research and Technology Kermanshah University of Medical Sciences	Vice Chancellor for Research and Technology Kermanshah University of Medical Sciences;;	WOS:000360935600007;;
European Social Found	European Social Found;;European Social;;	WOS:000302506600010;;WOS:000239980600102;;
Fundacao Araucaria  Brazilian Agency	Fundacao Araucaria  Brazilian Agency;;	WOS:000280558500028;;
oint Unmanned Systems TestExperimentation and Research	oint Unmanned Systems TestExperimentation and Research;;	WOS:000254073201195;;
Institut National de la Recherche Agronomique	Institut National de la Recherche Agronomique;;	WOS:000310798400009;;
Consolider AT project INGENIO of the Spanish Ministry of Science and Innovation	Spanish Ministry of Science and Innovation;;Spanish Ministry of Science;;Consolider AT project INGENIO of the Spanish Ministry of Science and Innovation;;	WOS:000284640500004;WOS:000331364300001;WOS:000399937900095;WOS:000392116900003;WOS:000300978400004;WOS:000290693700014;WOS:000353861800004;WOS:000301615600003;WOS:000327375100007;WOS:000340689700027;WOS:000362223600003;WOS:000297969000016;WOS:000276367900003;WOS:000344578000007;WOS:000348305500005;WOS:000370696000012;WOS:000305989000006;WOS:000296473400004;WOS:000309020200002;WOS:000295356300002;WOS:000342247500018;WOS:000314747700006;WOS:000282851700003;WOS:000313657100011;WOS:000306208500010;WOS:000341680000017;WOS:000303929500001;WOS:000301830800004;WOS:000310571500002;WOS:000305863300055;;WOS:000306342100022;;WOS:000356184900009;;
Government of Spain	Spanish MICINN under Project ANYSELF;Spanish MICINN;Spanish Government  MICINN;Spanish Board for Science and Technology  MICINN;Ministry of Science and Innovation  Ministerio de Ciencia e Innovacion - MICINN  through the  Jose Castillejo  program from Government of Spain;MICINN TIN;MICINN  Ministerio de Ciencia e Innovacion Spain;MICINN;Juan de la Cierva Ministerio de Ciencia e Innovacion  MICINN  Spain;Government of Spain  MICINN;;Government of Spain;;	WOS:000335748600002;WOS:000340501500002;WOS:000341777000001;WOS:000296680600004;WOS:000300325800011;WOS:000307796300028;WOS:000304530500005;WOS:000315255500013;WOS:000349881000005;WOS:000336252700005;WOS:000286625600004;WOS:000322101500002;;WOS:000279364000002;;
Conselleria de Cultura Educacion e Ordenacion Universitaria	NAC;;Conselleria de Cultura Educacion e Ordenacion Universitaria;;	WOS:000318143200003;;WOS:000368040900004;;
School of Information Technology and Electrical Engineering University of Queensland	School of Information Technology and Electrical Engineering University of Queensland;;	WOS:000295473000004;;
Yeungnam University	Yeungnam University Research Grant;;Yeungnam University;;	WOS:000383378500011;;WOS:000296800100019;;
Louisiana Transportation Research Center  LTRC	Louisiana Transportation Research Center  LTRC;;CEN;;	WOS:000338452000047;;WOS:000392233300002;;
Agency for Healthcare Research and Quality	Agency for Healthcare Research and Quality;;	WOS:000362263300007;;
National Institute of General Medical Sciences of the National Institutes of Health	National Institutes of Health;;National Institute of General Medical Sciences of the National Institutes of Health;;	WOS:000269479300006;WOS:000332851300001;WOS:000367733300013;WOS:000273609000046;WOS:000315096100013;WOS:000346267300001;WOS:000271162200007;WOS:000305588100008;WOS:000286299600008;WOS:000326860100005;WOS:000292213200001;WOS:000308044800067;WOS:000270870500006;WOS:000365574600011;WOS:000266214000012;;WOS:000391491000003;;
Spanish Ministry of Economia y Competitividad	Spanish Ministry of Economia y Competitividad;;	WOS:000387196400003;;
Junta de Andalucia Project	Junta de Andalucia Project;;Junta de Andalucia;;	WOS:000399131300068;;WOS:000372988800001;;
Jaypee University Engineering & Technology Guna  M P	Jaypee University Engineering & Technology Guna  M P;;	WOS:000341926700042;;
Plan Nacional under the project Transito	project TR;;Plan Nacional under the project Transito;;Plan Nacional;;NAC;;	WOS:000309166900019;;WOS:000322857200022;;WOS:000279183600003;;WOS:000318143200003;;
Secondary & Informal Education	Secondary & Informal Education;;	WOS:000245981400227;;
Broadcom Corporation	Broadcom Corporation;;	WOS:000300301800007;;
National Research Agency  Agence National pour la Recherche   BIOTECHNOLOGIES  program	national research;;CEN;;National Research Agency  Agence National pour la Recherche   BIOTECHNOLOGIES  program;;	WOS:000333806700147;;WOS:000392233300002;;WOS:000349998500001;;
HTWG  University of Applied Sciences -Konstanz in Germany	HTWG  University of Applied Sciences -Konstanz in Germany;;	WOS:000292951300002;;
laboratory branch of 9th Regional Directorate of Highways Diyarbakir	laboratory branch of 9th Regional Directorate of Highways Diyarbakir;;	WOS:000278221800007;;
Universidad de Alcala	Universidad de Alcala and Comunidad de Madrid;;Universidad de Alcala;;	WOS:000281604700001;WOS:000276630700012;;WOS:000351604400010;;
Development Program for Science and Technology of Luoyang	EVE;;Development Program for Science and Technology of Luoyang;;	WOS:000295290400003;;WOS:000308623700022;;
Arizona Department of Environmental Quality  Air Quality Division and Director's Special Initiative on Children's Health	Arizona Department of Environmental Quality  Air Quality Division and Director's Special Initiative on Children's Health;;	WOS:000301395400009;;
Leading Scientific Schools of Russian Federation	Leading Scientific Schools of Russian Federation;;	WOS:000345773000030;;
Deutsches Zentrum fur Luft- und Raumfahrt  DLR   Forderkennzeichen	DLR;Deutsches Zentrum fur Luft- und Raumfahrt  DLR   Forderkennzeichen;;	WOS:000263159400002;WOS:000392975600115;;
National Key Technology R D Program	National Key Technology R D Program;;	WOS:000306239200006;;
U S  Naval Postgraduate School Integrated Distance Learning Foundation	U S  Naval Postgraduate School Integrated Distance Learning Foundation;;	WOS:000262481600052;;
University of Perugia	University of Perugia;;Ministero per l'Universita e la Ricerca Scientifica e Tecnologica  Rome Italy  the University of Perugia;;	WOS:000340333900024;WOS:000288569200007;;WOS:000327261700004;;
Foundation of the National Institutes of Health	National Institutes of Health;;Foundation of the National Institutes of Health;;	WOS:000269479300006;WOS:000332851300001;WOS:000367733300013;WOS:000273609000046;WOS:000315096100013;WOS:000346267300001;WOS:000271162200007;WOS:000305588100008;WOS:000286299600008;WOS:000326860100005;WOS:000292213200001;WOS:000308044800067;WOS:000270870500006;WOS:000365574600011;WOS:000266214000012;;WOS:000262566300008;;
Deanship of Scientific Research King Saud University and Agriculture Research Center College of Food and Agriculture Sciences	scientific research;;King Saud University;;Deanship of Scientific Research King Saud University and Agriculture Research Center College of Food and Agriculture Sciences;;CEN;;	WOS:000270578200110;;WOS:000312626800022;WOS:000288102600017;WOS:000300276700010;;WOS:000365376400012;;WOS:000392233300002;;
Natural Science Foundation Project of Jiangxi Province	Natural Science Foundation Project of Jiangxi Province;;Natural Science Foundation;;	WOS:000393185000099;;WOS:000263584100063;;
National Nature Science Foundation of China	National Nature Science Foundation of China;;	WOS:000241452304018;WOS:000312651300086;WOS:000327279900005;WOS:000262290400178;WOS:000316511300001;WOS:000310763200012;WOS:000322857200012;WOS:000326909600043;WOS:000377235200032;WOS:000301082000013;;
Ecole Centrale de Nantes  ECN	Ecole Centrale de Nantes  ECN;;CEN;;	WOS:000375632000006;;WOS:000392233300002;;
U S  Army Research Lab	US Army Research Laboratory;;U S  Army Research Laboratory;;U S  Army Research Lab;;	WOS:000259293000013;;WOS:000245998000141;WOS:000305907100019;WOS:000353165400004;;WOS:000318812400076;;
DAE Government of India	DAE Government of India;;	WOS:000209279400001;;
Doctoral College on Computational Perception of the Vienna University of Technology	Doctoral College on Computational Perception of the Vienna University of Technology;;	WOS:000298383100135;;
Korea Science and Engineering Foundation KOSEF  - the Korea government MEST	Korea Science and Engineering Foundation KOSEF  - the Korea government MEST;Korea Science and Engineering Foundation  KOSEF;;	WOS:000392160600034;WOS:000261206300001;;
National Institute of Technology Rourkela during the completion of the study	National Institute of Technology Rourkela during the completion of the study;;	WOS:000349845900271;;
International Postdoctoral Exchange Fellowship Program	International Postdoctoral Exchange Fellowship Program;;	WOS:000366121300009;;
University of Sao Paulo	University of Sao Paulo;;	WOS:000377431900015;;
Health Research Board Ireland	Health Research Board Ireland;;	WOS:000355993500049;;
Russian Leading Scientific School	Russian Leading Scientific School;;	WOS:000325488200055;;
